Sl_No,Customer Key,Avg_Credit_Limit,Total_Credit_Cards,Total_visits_bank,Total_visits_online,Total_calls_made,Gender
1,87073,100000,2,1,1,0,Male
2,38414,50000,3,0,10,9,Female
3,17341,50000,7,1,3,4,Male
4,40496,30000,5,1,1,4,Male
5,47437,100000,6,0,12,3,Male
6,58634,20000,3,0,1,8,Male
7,48370,100000,5,0,11,2,Male
8,37376,15000,3,0,1,1,Male
9,82490,5000,2,0,2,2,Male
10,44770,3000,4,0,1,7,Male
11,52741,10000,4,0,5,5,Female
12,52326,13000,3,0,2,7,Female
13,92503,11000,1,2,5,9,Female
14,25084,9000,1,1,5,6,Female
15,68517,6000,2,2,4,6,Male
16,55196,8000,2,0,5,7,Male
17,62617,15000,2,1,2,4,Male
18,96463,8000,2,0,3,4,Female
19,39137,11000,2,2,2,7,Male
20,14309,19000,4,1,5,8,Male
21,29794,5000,3,2,5,5,Male
22,87241,16000,2,0,3,7,Male
23,30507,6000,4,1,4,6,Male
24,61061,9000,1,1,3,4,Male
25,24001,8000,2,0,2,10,Female
26,68067,18000,1,1,5,10,Female
27,65034,16000,3,0,5,9,Male
28,14854,9000,2,2,2,10,Male
29,81130,5000,2,0,4,6,Female
30,29112,8000,4,0,4,7,Female
31,13999,16000,3,1,5,4,Male
32,32550,11000,3,1,5,6,Female
33,82164,6000,1,0,5,10,Male
34,61517,16000,1,0,5,6,Female
35,28254,8000,4,1,3,10,Female
36,30888,19000,2,0,4,4,Female
37,46388,9000,3,1,4,10,Female
38,74126,17000,2,0,4,6,Female
39,52142,13000,4,1,3,10,Female
40,37659,10000,2,2,4,9,Male
41,83132,19000,4,2,5,9,Female
42,20119,10000,1,1,2,7,Male
43,52363,16000,4,2,3,4,Female
44,50769,20000,2,0,4,4,Male
45,68502,11000,4,2,4,5,Female
46,99026,14000,4,1,4,9,Male
47,83326,5000,1,2,2,5,Female
48,62040,11000,1,2,2,6,Male
49,37252,6000,4,0,2,8,Female
50,74625,14000,3,2,2,6,Male
51,51182,13000,1,0,5,9,Female
52,60301,6000,2,1,5,5,Male
53,96386,17000,2,1,5,8,Female
54,43886,9000,3,0,5,9,Male
55,78503,14000,2,0,4,9,Male
56,68419,6000,1,2,2,4,Female
57,32828,6000,1,0,2,5,Male
58,17937,6000,2,0,2,10,Female
59,71632,9000,1,0,4,7,Male
60,81566,19000,4,1,4,9,Male
61,29759,20000,4,1,4,7,Male
62,36929,18000,1,2,2,9,Female
63,70248,5000,1,0,2,4,Female
64,91673,14000,3,0,4,6,Female
65,61355,12000,1,0,5,9,Female
66,60403,16000,1,1,4,4,Female
67,85868,19000,2,0,3,6,Male
68,76205,9000,4,2,2,6,Male
69,66524,7000,1,2,4,10,Male
70,69214,20000,1,2,3,7,Male
71,21976,14000,1,2,4,7,Female
72,35149,6000,3,2,2,7,Female
73,27120,11000,3,1,2,6,Female
74,18821,19000,3,1,3,6,Male
75,33187,7000,2,0,5,8,Male
76,93482,16000,3,1,4,6,Male
